PMCID,sentence_id,top_section,CONSORT_Item,sentence_text,labels,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PMC4085478,S121,RESULTS,['4b'],a total of 175 patients were screened  of which 156 uc patients (119 in germany  22 in lithuania  and 15 in romania) were randomized and treated (see figure 1).,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3002834,S12,Setting,['4b'],part of the epocares-trial  conducted in utrecht (netherlands).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3321505,S76,RESULTS,['4b'],the reduce-1 trial took place from march 2007 through august 2008 at 68 centers in the united states and reduce-2 took place from march 2007 through september 2008 at 68 centers in the united states.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3391717,S94,Results,['4b'],of these  1124 were enrolled in the netherlands  59 in scotland  and 21 in chile.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3266479,S94,Results,['4b'],46 study sites participated in recruitment, a further 25 sites obtained approval to start the trial  but were unable to do so before recruitment was stopped.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,
PMC3944682,S6,Abstract,['4b'],setting primary care in the united kingdom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3551223,S97,Clinical efficacy,['5'],patients received mean weekly doses of methotrexate/placebo ranging from 15.2 to 15.9 mg/week and 15.8 to 16.3 mg/week for the tocilizumab plus methotrexate and tocilizumab plus placebo groups  respectively.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S56,Outcomes,['6a'],parenchymal haemorrhage and haemorrhagic contusion (defined as focal low attenuation with patchy and relatively ill-defined haemorrhage),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S61,Outcomes,['6a'],subdural haematomas,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S67,Outcomes,['6a'],epidural haematomas,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S73,Outcomes,['6a'],subarachnoid haemorrhage,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S77,Outcomes,['6a'],new focal ischaemic lesions,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3128457,S79,Outcomes,['6a'],mass effect,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC4902320,S77,RESULTS,['7b'],an early interim data analysis was requested following concerns raised by the clinical investigator team after high rates of rbc transfusion  considered to be an independent risk factor for adverse clinical outcomes  noted after the 4-week follow-up in a subset of patients.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC4902320,S78,RESULTS,['7b'],this was performed by an independent statistician on the interim data-monitoring committee with the data blinded (intervention group n = 32  usual care group n = 26).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC4902320,S79,RESULTS,['7b'],the results of the interim analysis were forwarded to 2 independent experts in the field to assess safety concerns.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC4902320,S80,RESULTS,['7b'],enrolment continued while waiting for a response.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC4902320,S81,RESULTS,['7b'],there was disagreement among the assessors  and a third independent expert opinion was sought.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3242163,S8,Methods,['8b'],20 536 patients at high risk of vascular and non-vascular outcomes were allocated either 40 mg simvastatin daily or placebo  using minimised randomisation.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3016167,S197,Strength and limitations,['11a'],this study was not blinded and the primary outcome was evaluated by study investigators  albeit investigators with extensive clinical experience with scorpion sting.1 9 11 20 25 33 34,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC3502035,S168,Strengths and limitations of this study,['11a'],by necessity  this pragmatic study used an open label design (with no blinding of treatment pathways or blood pressure measurements possible) with scheduled visits that varied according to clinic schedules and prescribed drug treatment and relied on the mainstream healthcare system in australia.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC5009486,S122,Efficacy analyses,['12a'],p-values were obtained using the murray method to account for correlation between the times to onset observed in the same subject at different periods.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC5009486,S135,Efficacy analyses,['12a'],estimated percentages  differences between percentages  and p-values were based on a logistic regression model with achievement of ≥12 % improvement in fev1 as binary response and the following factors in the model: baseline fev1  bronchodilator reversibility at screening  period  and treatment.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
PMC5264229,S126,Efficacy,['12a'],rate differences were calculated by non-parametrical analysis of covariance adjusted for baseline c reactive protein and region.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,
